,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
0,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
1,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
2,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
3,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
4,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
5,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
6,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
7,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
8,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
9,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,18-24,False,A no further action disposal
10,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,18-24,False,A no further action disposal
11,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
12,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
13,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
14,Person and Vehicle search,2020-01,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
15,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
16,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
17,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
18,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
19,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
20,Person search,2020-01,Colchester,Asian,Other ethnic group - Any other ethnic group,Male,18-24,False,A no further action disposal
21,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
22,Person and Vehicle search,2020-01,Colchester,Other,Other ethnic group - Not stated,Male,over 34,True,A no further action disposal
23,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,Arrest
24,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,Arrest
25,Person and Vehicle search,2020-01,Colchester,Asian,Asian/Asian British - Pakistani,Male,18-24,False,A no further action disposal
26,Person and Vehicle search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Asian,Male,18-24,True,Khat or Cannabis warning
27,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
28,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,Arrest
29,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,Arrest
30,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Caution (simple or conditional)
31,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
32,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,10-17,False,A no further action disposal
33,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
34,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
35,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,A no further action disposal
36,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
37,Person and Vehicle search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,True,A no further action disposal
38,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
39,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
40,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,Arrest
41,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
42,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
43,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Summons / charged by post
44,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
45,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
46,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
47,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
48,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,10-17,False,A no further action disposal
49,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,Community resolution
50,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
51,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
52,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
53,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
54,Person search,2020-01,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
55,Person search,2020-01,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
56,Person search,2020-01,Colchester,Asian,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
57,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
58,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
59,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
60,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
61,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Female,over 34,False,A no further action disposal
62,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Summons / charged by post
63,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,25-34,False,Arrest
64,Person search,2020-01,Colchester,Black,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
65,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
66,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
67,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
68,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
69,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
70,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
71,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
72,Person search,2020-01,Colchester,Asian,Asian/Asian British - Indian,Male,25-34,False,Arrest
73,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
74,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
75,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,A no further action disposal
76,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
77,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
78,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
79,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
80,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
81,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
82,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
83,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
84,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
85,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
86,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
87,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
88,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
89,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
90,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,Arrest
91,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
92,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
93,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
94,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
95,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
96,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
97,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
98,Person search,2020-01,Colchester,Asian,Asian/Asian British - Indian,Male,over 34,False,Summons / charged by post
99,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
100,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
101,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
102,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
103,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
104,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
105,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
106,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
107,Person and Vehicle search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
108,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
109,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,A no further action disposal
110,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Female,25-34,False,A no further action disposal
111,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
112,Person and Vehicle search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,Community resolution
113,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
114,Person and Vehicle search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - White and Asian,Male,25-34,False,Khat or Cannabis warning
115,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
116,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
117,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
118,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
119,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Female,over 34,False,A no further action disposal
120,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
121,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
122,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
123,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
124,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,over 34,False,A no further action disposal
125,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
126,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
127,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
128,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
129,Person and Vehicle search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,Arrest
130,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
131,Person and Vehicle search,2020-01,Colchester,White,White - Any other White background,Female,25-34,False,A no further action disposal
132,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
133,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
134,Person search,2020-01,Colchester,Asian,Asian/Asian British - Pakistani,Male,25-34,False,Arrest
135,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
136,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
137,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Khat or Cannabis warning
138,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
139,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
140,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
141,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
142,Person and Vehicle search,2020-01,Colchester,White,Asian/Asian British - Any other Asian background,Female,25-34,False,Khat or Cannabis warning
143,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
144,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
145,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
146,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,25-34,False,Caution (simple or conditional)
147,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
148,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
149,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
150,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
151,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
152,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
153,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
154,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,18-24,False,Arrest
155,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
156,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
157,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
158,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
159,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
160,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
161,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
162,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
163,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
164,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
165,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
166,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Khat or Cannabis warning
167,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
168,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
169,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
170,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
171,Person search,2020-01,Colchester,Asian,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
172,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
173,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
174,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
175,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
176,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
177,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
178,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
179,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
180,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,Khat or Cannabis warning
181,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
182,Person search,2020-01,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,18-24,False,Caution (simple or conditional)
183,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Caution (simple or conditional)
184,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,Caution (simple or conditional)
185,Person search,2020-01,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,Caution (simple or conditional)
186,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
187,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
188,Person and Vehicle search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,A no further action disposal
189,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
190,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
191,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
192,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
193,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
194,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
195,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
196,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
197,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
198,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
199,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
200,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
201,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
202,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
203,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
204,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
205,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
206,Person and Vehicle search,2020-01,Colchester,Asian,Asian/Asian British - Indian,Male,18-24,False,A no further action disposal
207,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
208,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
209,Person search,2020-01,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,Khat or Cannabis warning
210,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
211,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
212,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
213,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
214,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
215,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
216,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Community resolution
217,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Community resolution
218,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
219,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
220,Person search,2020-01,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
221,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
222,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
223,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
224,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
225,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
226,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
227,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - African,Male,10-17,False,A no further action disposal
228,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
229,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
230,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
231,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
232,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
233,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
234,Person search,2020-01,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
235,Person and Vehicle search,2020-01,Colchester,White,White - Irish,Female,25-34,False,A no further action disposal
236,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
237,Person and Vehicle search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
238,Person search,2020-01,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
