,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
14531,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14532,Person search,2020-07,Colchester,Other,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
14533,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
14534,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
14535,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14536,Person and Vehicle search,2020-07,Colchester,Other,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,18-24,False,A no further action disposal
14537,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
14538,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
14539,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14540,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14541,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14542,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14543,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14544,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14545,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14546,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14547,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14548,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
14549,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14550,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14551,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
14552,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14553,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14554,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
